2026-02-19 10:36:48,339 | INFO | root | Starting Training Pipeline...
2026-02-19 10:36:48,404 | INFO | root | Data Ingestion Completed...
2026-02-19 10:36:48,482 | INFO | root | Data Analysis Completed...
2026-02-19 10:36:48,539 | INFO | root | Data Transformation Completed...
2026-02-19 10:39:45,959 | INFO | root | Model Trainer Completed...
2026-02-19 10:39:45,960 | INFO | root | Model Selector Completed...
2026-02-19 10:39:45,960 | INFO | root | Best Model: XGBoost
2026-02-19 10:39:45,961 | INFO | root | Best Metrics: {'accuracy': 0.7288857345635202, 'precision': 0.49348534201954397, 'recall': 0.8101604278074866, 'f1_score': 0.6133603238866396, 'roc_auc_score': 0.8466157741093803, 'confusion_matrix': [[724, 311], [71, 303]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.91      0.70      0.79      1035\n           1       0.49      0.81      0.61       374\n\n    accuracy                           0.73      1409\n   macro avg       0.70      0.75      0.70      1409\nweighted avg       0.80      0.73      0.74      1409\n'}
2026-02-19 10:39:45,970 | ERROR | root | Error occurred during training pipeline execution.
