2026-02-19 09:24:28,838 | INFO | root | Starting Training Pipeline...
2026-02-19 09:24:28,914 | INFO | root | Data Ingestion Completed...
2026-02-19 09:24:29,017 | INFO | root | Data Analysis Completed...
2026-02-19 09:24:29,116 | INFO | root | Data Transformation Completed...
2026-02-19 09:25:48,845 | INFO | root | Model Trainer Completed...
2026-02-19 09:25:48,847 | INFO | root | Model Selector Completed...
2026-02-19 09:25:48,847 | INFO | root | Best Model: XGBoost
2026-02-19 09:25:48,848 | INFO | root | Best Metrics: {'accuracy': 0.794180269694819, 'precision': 0.6039603960396039, 'recall': 0.6524064171122995, 'f1_score': 0.6272493573264781, 'roc_auc_score': 0.8455152548502933, 'confusion_matrix': [[875, 160], [130, 244]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.87      0.85      0.86      1035\n           1       0.60      0.65      0.63       374\n\n    accuracy                           0.79      1409\n   macro avg       0.74      0.75      0.74      1409\nweighted avg       0.80      0.79      0.80      1409\n'}
2026-02-19 09:25:48,867 | ERROR | root | Error occurred during training pipeline execution.
