2026-02-18 22:30:04,206 | INFO | root | Starting Training Pipeline...
2026-02-18 22:30:04,274 | INFO | root | Data Ingestion Completed...
2026-02-18 22:30:04,347 | INFO | root | Data Analysis Completed...
2026-02-18 22:30:04,427 | INFO | root | Data Transformation Completed...
2026-02-18 22:30:27,016 | INFO | root | Model Trainer Completed...
2026-02-18 22:30:27,017 | INFO | root | Model Selector Completed...
2026-02-18 22:30:27,017 | INFO | root | Best Model: Logistic Regression (Tuned)
2026-02-18 22:30:27,018 | INFO | root | Best Metrics: {'accuracy': 0.7743080198722498, 'precision': 0.5564516129032258, 'recall': 0.7379679144385026, 'f1_score': 0.6344827586206897, 'roc_auc_score': 0.847291327598233, 'confusion_matrix': [[815, 220], [98, 276]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.89      0.79      0.84      1035\n           1       0.56      0.74      0.63       374\n\n    accuracy                           0.77      1409\n   macro avg       0.72      0.76      0.74      1409\nweighted avg       0.80      0.77      0.78      1409\n'}
2026-02-18 22:30:27,024 | INFO | root | Model Saver Completed...
2026-02-18 22:30:27,024 | INFO | root | Training Pipeline Completed...
