2026-02-18 22:41:23,999 | INFO | root | Starting Training Pipeline...
2026-02-18 22:41:24,070 | INFO | root | Data Ingestion Completed...
2026-02-18 22:41:24,150 | INFO | root | Data Analysis Completed...
2026-02-18 22:41:24,226 | INFO | root | Data Transformation Completed...
2026-02-18 22:41:40,229 | INFO | root | Model Trainer Completed...
2026-02-18 22:41:40,230 | INFO | root | Model Selector Completed...
2026-02-18 22:41:40,230 | INFO | root | Best Model: Stacking Ensemble
2026-02-18 22:41:40,231 | INFO | root | Best Metrics: {'accuracy': 0.7735982966643009, 'precision': 0.5544554455445545, 'recall': 0.7486631016042781, 'f1_score': 0.6370875995449374, 'roc_auc_score': 0.8486062672763439, 'confusion_matrix': [[810, 225], [94, 280]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.90      0.78      0.84      1035\n           1       0.55      0.75      0.64       374\n\n    accuracy                           0.77      1409\n   macro avg       0.73      0.77      0.74      1409\nweighted avg       0.81      0.77      0.78      1409\n'}
2026-02-18 22:41:40,305 | INFO | root | Model Saver Completed...
2026-02-18 22:41:40,306 | INFO | root | Training Pipeline Completed...
