2026-02-18 19:34:47,663 | INFO | root | Starting Training Pipeline...
2026-02-18 19:34:47,717 | INFO | root | Data Ingestion Completed...
2026-02-18 19:34:47,760 | INFO | root | Data Analysis Completed...
2026-02-18 19:34:47,801 | INFO | root | Data Transformation Completed...
2026-02-18 19:34:55,829 | INFO | root | Model Trainer Completed...
2026-02-18 19:34:55,830 | INFO | root | Model Selector Completed...
2026-02-18 19:34:55,831 | INFO | root | Best Model: Logistic Regression
2026-02-18 19:34:55,831 | INFO | root | Best Metrics: {'accuracy': 0.7381121362668559, 'precision': 0.504302925989673, 'recall': 0.7834224598930482, 'f1_score': 0.6136125654450262, 'roc_auc_score': 0.8417680642744583, 'confusion_matrix': [[747, 288], [81, 293]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.90      0.72      0.80      1035\n           1       0.50      0.78      0.61       374\n\n    accuracy                           0.74      1409\n   macro avg       0.70      0.75      0.71      1409\nweighted avg       0.80      0.74      0.75      1409\n'}
2026-02-18 19:34:55,837 | INFO | root | Model Saver Completed...
2026-02-18 19:34:55,838 | INFO | root | Training Pipeline Completed...
