2026-02-18 22:18:10,196 | INFO | root | Starting Training Pipeline...
2026-02-18 22:18:10,302 | INFO | root | Data Ingestion Completed...
2026-02-18 22:18:10,449 | INFO | root | Data Analysis Completed...
2026-02-18 22:18:10,542 | INFO | root | Data Transformation Completed...
2026-02-18 22:18:27,638 | INFO | root | Model Trainer Completed...
2026-02-18 22:18:27,639 | INFO | root | Model Selector Completed...
2026-02-18 22:18:27,639 | INFO | root | Best Model: Gradient Boosting
2026-02-18 22:18:27,639 | INFO | root | Best Metrics: {'accuracy': 0.7835344215755855, 'precision': 0.5789473684210527, 'recall': 0.6764705882352942, 'f1_score': 0.623921085080148, 'roc_auc_score': 0.8434730941124803, 'confusion_matrix': [[851, 184], [121, 253]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.88      0.82      0.85      1035\n           1       0.58      0.68      0.62       374\n\n    accuracy                           0.78      1409\n   macro avg       0.73      0.75      0.74      1409\nweighted avg       0.80      0.78      0.79      1409\n'}
2026-02-18 22:18:27,654 | INFO | root | Model Saver Completed...
2026-02-18 22:18:27,654 | INFO | root | Training Pipeline Completed...
