2026-02-18 20:29:15,599 | INFO | root | Starting Training Pipeline...
2026-02-18 20:29:15,664 | INFO | root | Data Ingestion Completed...
2026-02-18 20:29:15,731 | INFO | root | Data Analysis Completed...
2026-02-18 20:29:15,796 | INFO | root | Data Transformation Completed...
2026-02-18 20:29:34,505 | INFO | root | Model Trainer Completed...
2026-02-18 20:29:34,506 | INFO | root | Model Selector Completed...
2026-02-18 20:29:34,506 | INFO | root | Best Model: Gradient Boosting
2026-02-18 20:29:34,507 | INFO | root | Best Metrics: {'accuracy': 0.7636621717530163, 'precision': 0.8596491228070176, 'recall': 0.13101604278074866, 'f1_score': 0.2273781902552204, 'roc_auc_score': 0.8434730941124803, 'confusion_matrix': [[1027, 8], [325, 49]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.76      0.99      0.86      1035\n           1       0.86      0.13      0.23       374\n\n    accuracy                           0.76      1409\n   macro avg       0.81      0.56      0.54      1409\nweighted avg       0.79      0.76      0.69      1409\n'}
2026-02-18 20:29:34,519 | INFO | root | Model Saver Completed...
2026-02-18 20:29:34,519 | INFO | root | Training Pipeline Completed...
