2026-02-18 20:33:02,021 | INFO | root | Starting Training Pipeline...
2026-02-18 20:33:02,086 | INFO | root | Data Ingestion Completed...
2026-02-18 20:33:02,154 | INFO | root | Data Analysis Completed...
2026-02-18 20:33:02,214 | INFO | root | Data Transformation Completed...
2026-02-18 20:33:20,729 | INFO | root | Model Trainer Completed...
2026-02-18 20:33:20,730 | INFO | root | Model Selector Completed...
2026-02-18 20:33:20,730 | INFO | root | Best Model: Gradient Boosting
2026-02-18 20:33:20,730 | INFO | root | Best Metrics: {'accuracy': 0.8034066713981547, 'precision': 0.7081545064377682, 'recall': 0.4411764705882353, 'f1_score': 0.5436573311367381, 'roc_auc_score': 0.8434730941124803, 'confusion_matrix': [[967, 68], [209, 165]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.82      0.93      0.87      1035\n           1       0.71      0.44      0.54       374\n\n    accuracy                           0.80      1409\n   macro avg       0.77      0.69      0.71      1409\nweighted avg       0.79      0.80      0.79      1409\n'}
2026-02-18 20:33:20,743 | INFO | root | Model Saver Completed...
2026-02-18 20:33:20,743 | INFO | root | Training Pipeline Completed...
