2026-02-18 23:17:16,673 | INFO | root | Starting Training Pipeline...
2026-02-18 23:17:16,720 | INFO | root | Data Ingestion Completed...
2026-02-18 23:17:16,764 | INFO | root | Data Analysis Completed...
2026-02-18 23:17:16,816 | INFO | root | Data Transformation Completed...
2026-02-18 23:18:06,754 | INFO | root | Model Trainer Completed...
2026-02-18 23:18:06,754 | INFO | root | Model Selector Completed...
2026-02-18 23:18:06,755 | INFO | root | Best Model: XGBoost
2026-02-18 23:18:06,755 | INFO | root | Best Metrics: {'accuracy': 0.7927608232789212, 'precision': 0.596244131455399, 'recall': 0.679144385026738, 'f1_score': 0.635, 'roc_auc_score': 0.8466157741093803, 'confusion_matrix': [[863, 172], [120, 254]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.88      0.83      0.86      1035\n           1       0.60      0.68      0.64       374\n\n    accuracy                           0.79      1409\n   macro avg       0.74      0.76      0.75      1409\nweighted avg       0.80      0.79      0.80      1409\n'}
2026-02-18 23:18:06,765 | ERROR | root | Error occurred during training pipeline execution.
