2026-02-19 10:12:34,849 | INFO | root | Starting Training Pipeline...
2026-02-19 10:12:34,922 | INFO | root | Data Ingestion Completed...
2026-02-19 10:12:35,000 | INFO | root | Data Analysis Completed...
2026-02-19 10:12:35,078 | INFO | root | Data Transformation Completed...
2026-02-19 10:18:39,862 | INFO | root | Model Trainer Completed...
2026-02-19 10:18:39,864 | INFO | root | Model Selector Completed...
2026-02-19 10:18:39,864 | INFO | root | Best Model: XGBoost
2026-02-19 10:18:39,864 | INFO | root | Best Metrics: {'accuracy': 0.7196593328601846, 'precision': 0.48396946564885496, 'recall': 0.8475935828877005, 'f1_score': 0.6161321671525753, 'roc_auc_score': 0.8466157741093803, 'confusion_matrix': [[697, 338], [57, 317]], 'classification_report': '              precision    recall  f1-score   support\n\n           0       0.92      0.67      0.78      1035\n           1       0.48      0.85      0.62       374\n\n    accuracy                           0.72      1409\n   macro avg       0.70      0.76      0.70      1409\nweighted avg       0.81      0.72      0.74      1409\n'}
2026-02-19 10:18:39,885 | ERROR | root | Error occurred during training pipeline execution.
